#{"t_start": 1702236991.7148774, "env_id": null}
r,l,t
183.18359,240,1962.926565
586.385637,240,1967.761845
183.574502,240,1972.758185
290.119761,240,1977.723312
368.295865,240,1982.544391
-46.838418,240,1987.508377
378.566564,240,1992.116509
489.683885,240,1996.610665
485.141287,240,2001.106591
176.999131,240,2005.574303
482.960843,240,2010.071601
376.583731,240,2014.560363
371.367015,240,2019.023334
271.620791,240,2023.531886
388.640462,240,2028.012345
383.54974,240,2032.486551
260.960305,240,2037.060388
179.520086,240,2041.697971
377.387999,240,2046.186648
681.346349,240,2050.674396
474.285372,240,2055.210304
276.318616,240,2059.697852
482.665113,240,2064.200382
264.168432,240,2068.684736
488.21247,240,2073.174224
280.802074,240,2077.642045
117.436276,240,2082.111499
894.279643,240,2086.609467
276.281703,240,2091.108048
270.077187,240,2095.572642
278.808135,240,2100.052389
374.288638,240,2104.637849
494.379612,240,2109.270282
479.214652,240,2113.744505
173.54212,240,2118.216656
595.632765,240,2122.756256
374.973524,240,2127.232578
387.732497,240,2131.728938
266.981715,240,2136.2135
75.140881,240,2140.696173
365.124914,240,2145.240018
475.298295,240,2149.76129
587.720916,240,2154.285713
486.288555,240,2158.72423
589.013312,240,2163.185848
575.657039,240,2167.667751
481.537433,240,2172.31316
478.095063,240,2176.8747
72.764685,240,2181.386481
497.540331,240,2185.854562
878.034236,240,2190.371603
278.198232,240,2194.887754
577.58662,240,2199.405467
276.398862,240,2203.899593
147.258851,240,2208.436217
485.418358,240,2212.893078
275.972996,240,2217.35061
375.531036,240,2221.875057
481.353373,240,2226.370528
63.695196,240,2230.873044
274.824966,240,2235.559202
473.684999,240,2240.212742
562.56185,240,2244.690842
381.956365,240,2249.166271
476.820423,240,2253.642691
287.57963,240,2258.123004
372.651806,240,2262.626497
280.901581,240,2267.142409
587.215618,240,2271.608129
583.853447,240,2276.029115
288.42262,240,2280.516361
550.410972,240,2284.979781
272.470917,240,2289.436141
478.163809,240,2293.963034
587.9792,240,2298.488789
272.716781,240,2303.171741
184.680169,240,2307.841225
391.64347,240,2312.302638
385.308079,240,2316.929988
387.645481,240,2321.401107
485.497183,240,2325.880646
678.663573,240,2330.368995
378.406526,240,2334.85628
482.864496,240,2339.293859
584.973373,240,2343.768731
485.853742,240,2348.216652
172.880376,240,2352.662873
475.40718,240,2357.128438
477.276358,240,2361.596209
391.494108,240,2366.429465
681.732013,240,2371.291473
380.795767,240,2375.807378
582.975639,240,2380.320662
687.413703,240,2384.91078
463.874001,240,2389.721447
477.435895,240,2394.304426
585.654083,240,2398.708361
587.544903,240,2403.194695
677.554343,240,2407.689662
381.644547,240,2412.202382
486.139276,240,2416.714282
376.093494,240,2421.257213
491.738621,240,2425.77482
575.096782,240,2430.244526
168.850912,240,2434.849295
586.26109,240,2439.433259
579.083673,240,2443.885724
277.673313,240,2448.337671
284.81745,240,2452.79247
190.365838,240,2457.277583
165.50992,240,2461.755188
